percent,mean_angle,smooth_angle,sd_angle,mean_minus_sd,mean_plus_sd,n_sessions
0.0,8.574615,13.44889,7.390012,1.184604,15.964627,26
1.0,12.636393,17.306806,12.827303,-0.19091,25.463696,26
2.0,19.135661,22.084621,19.371966,-0.236306,38.507627,26
3.0,28.880553,31.437821,24.716743,4.16381,53.597296,26
4.0,41.195884,42.127356,25.695541,15.500343,66.891426,26
5.0,55.340614,52.726147,22.937624,32.40299,78.278238,26
6.0,66.08407,61.679967,18.429891,47.654179,84.513961,26
7.0,72.129614,67.909626,13.625336,58.504279,85.75495,26
8.0,73.649654,70.651296,10.181582,63.468072,83.831235,26
9.0,72.344179,70.022703,9.813282,62.530896,82.157461,26
10.0,69.048964,66.366345,10.905668,58.143296,79.954632,26
11.0,62.941104,60.165826,13.057912,49.883192,75.999016,26
12.0,53.847824,51.959538,16.659298,37.188526,70.507122,26
13.0,42.647059,42.511556,18.049597,24.597463,60.696656,26
14.0,31.312741,33.167344,16.526432,14.786309,47.839173,26
15.0,21.809053,25.961016,12.403251,9.405801,34.212304,26
16.0,16.220041,22.946641,8.012153,8.207888,24.232194,26
17.0,17.816185,25.941607,10.369236,7.446949,28.185421,26
18.0,27.575187,34.597531,20.404261,7.170926,47.979448,26
19.0,46.287568,46.861258,29.005657,17.281911,75.293225,26
20.0,65.088676,59.555114,28.502458,36.586218,93.591134,26
21.0,77.538676,69.74994,18.460103,59.078573,95.998779,26
22.0,81.285465,75.148886,10.844897,70.440568,92.130363,26
23.0,78.549313,75.181932,7.08379,71.465524,85.633103,26
24.0,73.282298,70.43252,9.667142,63.615156,82.94944,26
25.0,65.253907,62.249976,14.289009,50.964899,79.542916,26
26.0,53.791617,52.377713,17.202039,36.589578,70.993657,26
27.0,40.372743,41.958103,17.819879,22.552864,58.192622,26
28.0,29.188,32.782012,15.941733,13.246268,45.129733,26
29.0,21.184246,27.529982,11.983924,9.200322,33.168169,26
30.0,19.373454,27.842549,10.434979,8.938475,29.808433,26
31.0,27.531469,34.189874,19.071002,8.460466,46.602471,26
32.0,41.935576,44.931027,28.568899,13.366677,70.504475,26
33.0,60.924624,56.933001,28.620365,32.304258,89.544989,26
34.0,74.890011,67.192615,23.172931,51.71708,98.062942,26
35.0,79.383326,73.509339,17.619009,61.764317,97.002335,26
36.0,78.829539,74.471299,11.890916,66.938623,90.720456,26
37.0,73.519195,70.18991,10.078616,63.440579,83.597811,26
