percent,mean_angle,smooth_angle,sd_angle,mean_minus_sd,mean_plus_sd,n_curves
0.0,7.5525,7.586953,3.572775,3.979725,11.125275,256
1.0,7.586953,7.604191,3.376153,4.2108,10.963106,256
2.0,7.621407,7.619833,3.222586,4.39882,10.843993,256
3.0,7.655902,7.646448,3.118441,4.537461,10.774344,256
4.0,7.682401,7.664506,3.053607,4.628794,10.736008,256
5.0,7.685576,7.67354,3.022483,4.663093,10.708059,256
6.0,7.677244,7.678867,3.016023,4.661221,10.693267,256
7.0,7.666576,7.690991,3.03064,4.635936,10.697216,256
8.0,7.68254,7.724949,3.04292,4.63962,10.72546,256
9.0,7.74302,7.795631,3.051358,4.691662,10.794378,256
10.0,7.855367,7.917776,3.049697,4.80567,10.905064,256
11.0,8.030651,8.09952,3.034465,4.996186,11.065115,256
12.0,8.2773,8.342751,3.004506,5.272793,11.281806,256
13.0,8.591261,8.640338,2.991117,5.600144,11.582378,256
14.0,8.959178,8.983434,2.979044,5.980133,11.938222,256
15.0,9.343303,9.362079,3.006427,6.336876,12.34973,256
16.0,9.746129,9.763306,3.041865,6.704264,12.787994,256
17.0,10.170524,10.182871,3.096882,7.073641,13.267406,256
18.0,10.597398,10.635271,3.17314,7.424257,13.770538,256
19.0,11.056999,11.133485,3.270518,7.786481,14.327517,256
20.0,11.605304,11.686911,3.38174,8.223564,14.987044,256
21.0,12.237202,12.309763,3.500009,8.737193,15.737211,256
22.0,12.937653,13.003448,3.631283,9.30637,16.568936,256
23.0,13.711658,13.763056,3.766779,9.944879,17.478437,256
24.0,14.525422,14.579418,3.958008,10.567414,18.48343,256
25.0,15.403346,15.443244,4.222332,11.181014,19.625678,256
26.0,16.319012,16.35741,4.54473,11.774282,20.863742,256
27.0,17.256782,17.341871,4.864593,12.392189,22.121375,256
28.0,18.282488,18.405479,5.197482,13.085006,23.47997,256
29.0,19.447728,19.570429,5.519047,13.92868,24.966775,256
30.0,20.721383,20.844457,5.839719,14.881664,26.561103,256
31.0,22.143765,22.225857,6.12774,16.016025,28.271505,256
32.0,23.626923,23.707045,6.459994,17.166929,30.086917,256
33.0,25.189486,25.281901,6.803949,18.385537,31.993435,256
34.0,26.853666,26.954461,7.162857,19.69081,34.016523,256
35.0,28.595664,28.753746,7.526677,21.068987,36.12234,256
36.0,30.506568,30.699016,7.829693,22.676874,38.336261,256
37.0,32.623345,32.793018,8.091659,24.531686,40.715003,256
38.0,34.915836,35.031947,8.241441,26.674395,43.157277,256
39.0,37.323679,37.369649,8.340537,28.983143,45.664216,256
40.0,39.790305,39.780487,8.392064,31.398241,48.182369,256
41.0,42.195081,42.220829,8.325335,33.869745,50.520416,256
42.0,44.677534,44.661222,8.110071,36.567463,52.787606,256
43.0,47.117546,47.054016,7.969469,39.148077,55.087015,256
44.0,49.525642,49.379745,7.817075,41.708568,57.342717,256
45.0,51.754277,51.585802,7.584987,44.16929,59.339264,256
46.0,53.823726,53.615542,7.211647,46.612078,61.035373,256
47.0,55.707819,55.422889,6.807594,48.900225,62.515412,256
48.0,57.266247,57.016993,6.342877,50.92337,63.609124,256
49.0,58.562378,58.3664,5.871135,52.691243,64.433513,256
50.0,59.724793,59.460026,5.524941,54.199853,65.249734,256
51.0,60.570762,60.325363,5.267783,55.302979,65.838545,256
52.0,61.175948,60.960828,5.175277,56.000671,66.351225,256
53.0,61.592936,61.308142,5.245873,56.347063,66.838809,256
54.0,61.739703,61.363057,5.495228,56.244475,67.23493,256
55.0,61.461363,61.105934,5.934006,55.527358,67.395369,256
56.0,60.845334,60.514118,6.616597,54.228737,67.461932,256
57.0,59.890332,59.595414,7.293995,52.596337,67.184327,256
58.0,58.63386,58.406167,7.92342,50.710439,66.55728,256
59.0,57.146179,56.982786,8.451821,48.694358,65.598,256
60.0,55.51513,55.362119,8.900736,46.614394,64.415866,256
61.0,53.728428,53.57152,9.341243,44.387185,63.069672,256
62.0,51.786998,51.61132,9.699178,42.087819,61.486176,256
63.0,49.680865,49.477876,10.010841,39.670024,59.691706,256
64.0,47.345178,47.177209,10.257065,37.088113,57.602243,256
65.0,44.847913,44.70585,10.488891,34.359023,55.336804,256
66.0,42.225089,42.084991,10.571723,31.653366,52.796812,256
67.0,39.430207,39.345647,10.392818,29.037389,49.823025,256
68.0,36.57657,36.53682,10.056972,26.519597,46.633542,256
69.0,33.648456,33.731632,9.696235,23.952221,43.344691,256
70.0,30.803781,31.034271,9.492646,21.311135,40.296427,256
71.0,28.199145,28.501488,9.224032,18.975113,37.423177,256
72.0,25.943406,26.179829,8.793717,17.149689,34.737123,256
73.0,23.912652,24.072257,8.290889,15.621762,32.203541,256
74.0,22.040162,22.138895,7.748636,14.291527,29.788798,256
75.0,20.265919,20.31727,7.137725,13.128194,27.403643,256
76.0,18.532337,18.566367,6.563293,11.969043,25.09563,256
77.0,16.83528,16.873857,6.030579,10.804701,22.86586,256
78.0,15.158139,15.249668,5.567615,9.590524,20.725754,256
79.0,13.577613,13.726293,5.158114,8.419499,18.735727,256
80.0,12.144972,12.367309,4.808986,7.335986,16.953957,256
81.0,10.915461,11.22999,4.474282,6.441179,15.389743,256
82.0,10.040362,10.330291,4.019399,6.020962,14.059761,256
83.0,9.471543,9.668941,3.652702,5.818841,13.124245,256
84.0,9.079116,9.229513,3.355177,5.723938,12.434293,256
85.0,8.838223,8.954654,3.193066,5.645157,12.031289,256
86.0,8.718321,8.796072,3.09241,5.625911,11.810732,256
87.0,8.666065,8.718306,3.037086,5.628979,11.703151,256
88.0,8.678636,8.683225,2.968605,5.710031,11.647241,256
89.0,8.690283,8.655859,2.928691,5.761592,11.618975,256
90.0,8.662817,8.615463,2.888687,5.77413,11.551504,256
91.0,8.581493,8.546204,2.871673,5.70982,11.453166,256
92.0,8.464087,8.446905,2.876681,5.587405,11.340768,256
93.0,8.332339,8.327564,2.898645,5.433694,11.230984,256
94.0,8.193788,8.201254,2.93347,5.260318,11.127258,256
95.0,8.066114,8.078997,2.974628,5.091487,11.040742,256
96.0,7.949941,7.964459,3.039226,4.910714,10.989167,256
97.0,7.852801,7.859163,3.124557,4.728244,10.977359,256
98.0,7.759651,7.760932,3.251597,4.508054,11.011248,256
99.0,7.667306,7.71368,3.413889,4.253417,11.081194,256
100.0,7.574961,7.667306,3.606236,3.968725,11.181197,256
